Author,Title,Citations,Year,Publisher,Venue,Source
"Kiran Kumar, A Singh",Increase in summer monsoon rainfall over the northeast India during El Niño years since 1600,18,2021, Springer, Climate Dynamics,https://link.springer.com/article/10.1007/s00382-021-05743-7
"Zahan, R Mahanta, PV Rajesh, BN Goswami",Impact of climate change on North-East India (NEI) summer monsoon rainfall,18,2021, Springer, Climatic Change,https://link.springer.com/article/10.1007/s10584-021-02994-5
"Subash, AK Sikka, HS Ram Mohan",An investigation into observational characteristics of rainfall and temperature in Central Northeast India—a historical perspective 1889–2008,98,2011, Springer, Theoretical and Applied …,https://link.springer.com/article/10.1007/s00704-010-0299-2
" Jain, V Kumar, M Saharia",Analysis of rainfall and temperature trends in northeast India,474,2013, academia.edu, International Journal of Climatology,https://www.academia.edu/download/30668535/Analysis-of-Rainfall-and-Temperature-Trends-in-Northeast-India.pdf
"Pradhan, N Singh, RP Singh",Onset of summer monsoon in Northeast India is preceded by enhanced transpiration,31,2019, nature.com, Scientific reports,https://www.nature.com/articles/s41598-019-55186-8
"Sahoo, RK Yadav",Teleconnection of Atlantic Nino with summer monsoon rainfall over northeast India,11,2021, Elsevier, Global and Planetary Change,https://www.sciencedirect.com/science/article/pii/S0921818121001351
" Dash, N Sharma, KC Pattnayak, XJ Gao…",Temperature and precipitation changes in the north-east India and their future projections,99,2012, Elsevier, Global and Planetary …,https://www.sciencedirect.com/science/article/pii/S0921818112001464
"Mahanta, D Sarma, A Choudhury",Heavy rainfall occurrences in northeast India,73,2013, researchgate.net, International Journal of …,https://www.researchgate.net/profile/Rahul-Mahanta/publication/258790513_Heavy_rainfall_occurrences_in_northeast_India/links/566e815b08ae430ab500283c/Heavy-rainfall-occurrences-in-northeast-India.pdf
"Jhajharia, VP Singh","Trends in temperature, diurnal temperature range and sunshine duration in Northeast India",219,2011, academia.edu, International Journal of Climatology,https://www.academia.edu/download/43581157/Trends_in_temperature_diurnal_temperatur20160310-2573-witqkr.pdf
"Maharana, R Agnihotri, AP Dimri",Changing Indian monsoon rainfall patterns under the recent warming period 2001–2018,44,2021, Springer, Climate Dynamics,https://link.springer.com/article/10.1007/S00382-021-05823-8
"Pal, S Dutta, T Nasrin, S Chattopadhyay",Hurst exponent approach through rescaled range analysis to study the time series of summer monsoon rainfall over northeast India,26,2020, Springer, Theoretical and Applied …,https://link.springer.com/article/10.1007/s00704-020-03338-6
"Jhajharia, BK Yadav, S Maske…","Identification of trends in rainfall, rainy days and 24 h maximum rainfall over subtropical Assam in Northeast India",97,2012, Elsevier, Comptes Rendus …,https://www.sciencedirect.com/science/article/pii/S1631071311002537
" Choudhury, M Konwar, A Hazra…",A diagnostic study of cloud physics and lightning flash rates in a severe pre‐monsoon thunderstorm over northeast India,29,2020, Wiley Online Library, Quarterly Journal of …,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.3773
"Jhajharia, SK Shrivastava, D Sarkar…",Temporal characteristics of pan evaporation trends under the humid conditions of northeast India,254,2009, Elsevier, Agricultural and Forest …,https://www.sciencedirect.com/science/article/pii/S0168192308003079
" Naidu, AD Raju, PV Kumar…",Perceptible changes in Indian summer monsoon rainfall in relation to Indian Monsoon Index,16,2017, Elsevier, Global and Planetary …,https://www.sciencedirect.com/science/article/pii/S0921818117300346
"Guhathakurta, M Rajeevan, DR Sikka, A Tyagi",Observed changes in southwest monsoon rainfall over India during 1901–2011,185,2015, researchgate.net, Int. J. Climatol,https://www.researchgate.net/profile/Pulak-Guhathakurta/publication/264007263_Observed_changes_in_southwest_monsoon_rainfall_over_India_during_1901-2011/links/5b025b780f7e9be94bd9c576/Observed-changes-in-southwest-monsoon-rainfall-over-India-during-1901-2011.pdf
"Prokop, A Walanus",Variation in the orographic extreme rain events over the Meghalaya Hills in northeast India in the two halves of the twentieth century,65,2015, Springer, Theoretical and Applied Climatology,https://link.springer.com/article/10.1007/s00704-014-1224-x
"N Murthy, R Saravana, P Rajendra",Critical comparison of north east monsoon rainfall for different regions through analysis of means technique,17,2018, 103.215.208.102, Mausam,http://103.215.208.102/index.php/MAUSAM/article/download/331/253
"Varikoden, JV Revadekar",On the extreme rainfall events during the southwest monsoon season in northeast regions of the Indian subcontinent,61,2020, Wiley Online Library, Meteorological Applications,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/met.1822
"Mohapatra, HR Biswas, GK Sawaisarje",Spatial variability of daily rainfall over northeast India during summer monsoon season,8,2011, mausamjournal.imd.gov.in, Mausam,https://mausamjournal.imd.gov.in/index.php/MAUSAM/article/view/288
" Yadav, MK Roxy",On the relationship between north India summer monsoon rainfall and east equatorial Indian Ocean warming,38,2019, Elsevier, Global and Planetary Change,https://www.sciencedirect.com/science/article/pii/S0921818118306349
"Balachandran, R Asokan, S Sridharan",Global surface temperature in relation to northeast monsoon rainfall over Tamil Nadu,52,2006, Springer, Journal of earth system science,https://link.springer.com/article/10.1007/BF02702047
"Mohapatra, HR Biswas, GK Sawaisarje",Daily summer monsoon rainfall over Northeast India due to synoptic scale systems,6,2008, mausamjournal.imd.gov.in, MAUSAM,https://mausamjournal.imd.gov.in/index.php/MAUSAM/article/view/1130
"Kumar, AP Dimri",Regional climate projections for Northeast India: an appraisal from CORDEX South Asia experiment,25,2018, Springer, Theoretical and Applied Climatology,https://link.springer.com/article/10.1007/s00704-017-2318-z
" Pattanaik, M Rajeevan",Variability of extreme rainfall events over India during southwest monsoon season,179,2010, Wiley Online Library, Meteorological Applications: A …,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/met.164
 Yadav,Relationship between winter precipitation over the western Himalaya and central northeast India summer monsoon rainfall: A long-term perspective,6,2013, Elsevier, Quaternary international,https://www.sciencedirect.com/science/article/pii/S1040618213001559
" Naidu, K Durgalakshmi…",Is summer monsoon rainfall decreasing over India in the global warming era?,146,2009, Wiley Online Library, Journal of …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2008JD011288
" Choudhury, SK Saha, M Konwar…",Rapid drying of Northeast India in the last three decades: Climate change or natural variability?,54,2019, Wiley Online Library, Journal of …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018JD029625
" Dash, MS Shekhar, GP Singh",Simulation of Indian summer monsoon circulation and rainfall using RegCM3,187,2006, Springer, Theoretical and applied climatology,https://link.springer.com/article/10.1007/s00704-006-0204-1
"Singh, S Thakur, NC Adhikary","Influence of climatic indices (AMO, PDO, and ENSO) and temperature on rainfall in the Northeast Region of India",27,2020, Springer, SN Applied Sciences,https://link.springer.com/article/10.1007/s42452-020-03527-y
" Dash, A Mamgain, KC Pattnayak…",Spatial and temporal variations in Indian summer monsoon rainfall and temperature: an analysis based on RegCM3 simulations,52,2013, Springer, Pure and Applied …,https://link.springer.com/article/10.1007/s00024-012-0567-4
" Panda, A Kumar",The changing characteristics of monsoon rainfall in India during 1971–2005 and links with large scale circulation,33,2014, academia.edu, Int. J. Climatol,https://www.academia.edu/download/93207993/joc.394820221028-1-cb0433.pdf
" Narasimha Murthy, R Saravana…",Modeling and forecasting rainfall patterns of southwest monsoons in North–East India as a SARIMA process,62,2018, Springer, … and Atmospheric Physics,https://link.springer.com/article/10.1007/s00703-017-0504-2
"Barde, MM Nageswararao, UC Mohanty…",Characteristics of southwest summer monsoon rainfall events over East India,20,2020, Springer, Theoretical and Applied …,https://link.springer.com/article/10.1007/s00704-020-03251-y
"Rajendran, S Sajani, CB Jayasankar, A Kitoh",How dependent is climate change projection of Indian summer monsoon rainfall and extreme events on model resolution?,57,2013, JSTOR, Current Science,https://www.jstor.org/stable/24092514
"Oza, CM Kishtawal",Spatial analysis of Indian summer monsoon rainfall,28,2014, academia.edu, J. Geomatics,https://www.academia.edu/download/111967957/7.pdf
Lal,Global climate change: India's monsoon and its variability,160,2003, researchgate.net, Journal of Environmental Studies and Policy,https://www.researchgate.net/profile/Murari-Lal-2/publication/281402625_Global_climate_change_India's_monsoon_and_its_variability/links/578501b608ae3949cf537eb1/Global-climate-change-Indias-monsoon-and-its-variability.pdf
" Nageswararao, MC Sannan…",Characteristics of various rainfall events over South Peninsular India during northeast monsoon using high-resolution gridded dataset (1901–2016),30,2019, Springer, Theoretical and Applied …,https://link.springer.com/article/10.1007/s00704-018-02755-y
" Dhar, S Nandargi",Could not catch title,1,2007, International Journal of Meteorology,,"Look manually at: https://scholar.google.com/scholar?start=30&q=Monsoon+AND+weather+OR+climate+OR+river+OR+cloud+OR+rain+OR+rainfall+OR+precipitation+OR+temperature+OR+wind+OR+premonsoon+%22Northeast+India%22&hl=en&as_sdt=0,5&as_ylo=2001&as_yhi=2021"
"Sinha, M Berkelhammer, L Stott…",The leading mode of Indian Summer Monsoon precipitation variability during the last millennium,264,2011, Wiley Online Library, Geophysical …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2011gl047713
" Suthinkumar, CA Babu, H Varikoden",Spatial distribution of extreme rainfall events during 2017 southwest monsoon over Indian subcontinent,29,2019, Springer, Pure and Applied Geophysics,https://link.springer.com/article/10.1007/s00024-019-02282-5
"Shrivastava, SC Kar, AR Sharma",Intraseasonal variability of summer monsoon rainfall and droughts over central India,15,2017, Springer, Pure and Applied Geophysics,https://link.springer.com/article/10.1007/s00024-017-1498-x
"Soraisam, A Karumuri, DS Pai",Uncertainties in observations and climate projections for the North East India,29,2018, Elsevier, Global and Planetary Change,https://www.sciencedirect.com/science/article/pii/S0921818116305744
" Kashid, R Maity",Prediction of monthly rainfall on homogeneous monsoon regions of India based on large scale circulation patterns using Genetic Programming,105,2012, Elsevier, Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S002216941200409X
"Murata, T Terao, K Chakravarty, HJ Syiemlieh…","Characteristics of orographic rain drop-size distribution at Cherrapunji, Northeast India",21,2020, mdpi.com, Atmosphere,https://www.mdpi.com/2073-4433/11/8/777
"Saha, A Guha, T Banik",Indian summer monsoon variability over North-East India: Impact of ENSO and IOD,10,2021, Elsevier,Terrestrial …,https://www.sciencedirect.com/science/article/pii/S1364682621001607
