Author,Title,Citations,Year,Publisher,Venue,Source
" Gupta, E Thomas","Initiation of Northern Hemisphere glaciation and strengthening of the northeast Indian monsoon: Ocean Drilling Program Site 758, eastern equatorial Indian Ocean",179,2003, pubs.geoscienceworld.org, Geology,https://pubs.geoscienceworld.org/gsa/geology/article-abstract/31/1/47/192515
Wu,A mid‐latitude Asian circulation anomaly pattern in boreal summer and its connection with the Indian and East Asian summer monsoons,134,2002, researchgate.net, International Journal of Climatology: A Journal of the …,https://www.researchgate.net/profile/Renguang-Wu/publication/229698843_A_mid-latitude_Asian_circulation_pattern_in_boreal_summer_and_its_connection_with_the_Indian_and_East_Asian_summer_monsoons/links/5d783bc0299bf1cb809812c6/A-mid-latitude-Asian-circulation-pattern-in-boreal-summer-and-its-connection-with-the-Indian-and-East-Asian-summer-monsoons.pdf
"Duan, T Yao",Monsoon variability in the Himalayas under the condition of global warming,50,2003, jstage.jst.go.jp, Journal of the Meteorological Society of Japan. Ser …,https://www.jstage.jst.go.jp/article/jmsj/81/2/81_2_251/_article/-char/ja/
"Duan, T Yao, LG Thompson",Low‐frequency of southern Asian monsoon variability using a 295‐year record from the Dasuopu ice core in the central Himalayas,84,2004, Wiley Online Library, Geophysical Research Letters,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2004GL020015
" Dhar, S Nandargi",Hydrometeorological aspects of floods in India,196,2003, Springer, Natural Hazards,https://link.springer.com/article/10.1023/A:1021199714487
"Fang, X Chen, X Ding, C Hu, Y Yin, H Nie",Paleoceanographical records under impact of the Indian monsoon from the Bengal Deep Sea Fan and Ninetyeast Ridge during the last 260 ka,9,2001, Springer, Science in China Series D …,https://link.springer.com/article/10.1007/BF02912006
Jayaraman,Aerosol radiation cloud interactions over the tropical Indian Ocean prior to the onset of the summer monsoon,38,2001, JSTOR, Current Science,https://www.jstor.org/stable/24106568
" Vecchi, DE Harrison",Monsoon breaks and subseasonal sea surface temperature variability in the Bay of Bengal,274,2002, journals.ametsoc.org, Journal of climate,https://journals.ametsoc.org/view/journals/clim/15/12/1520-0442_2002_015_1485_mbasss_2.0.co_2.xml?tab_body=abstract-display
"Han, JP McCreary Jr…","Influence of precipitation minus evaporation and Bay of Bengal rivers on dynamics, thermodynamics, and mixed layer physics in the upper Indian Ocean",161,2001, Wiley Online Library, Journal of Geophysical …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000JC000403
 Khadkikar,Coastal aeolianite deposits: an archive of Indian monsoon rainfall and winds over the late Quaternary,7,2004, researchgate.net,GEOLOGICAL SOCIETY OF INDIA,https://www.researchgate.net/profile/Aniruddha-Khadkikar/publication/288370219_Coastal_aeolianite_deposits_An_archive_of_Indian_monsoon_rainfall_and_winds_over_the_late_Quaternary/links/56e1ce3a08ae03f0278ed364/Coastal-aeolianite-deposits-An-archive-of-Indian-monsoon-rainfall-and-winds-over-the-late-Quaternary
" Collins, CJC Reason, F Tangang",Predictability of Indian Ocean sea surface temperature using canonical correlation analysis,44,2004, Springer, Climate Dynamics,https://link.springer.com/article/10.1007/s00382-004-0390-4
"Duan, T Yao",Precipitation variability in central Himalayas and its relation to Northern Hemisphere temperature,11,2003, Springer, Chinese Science Bulletin,https://link.springer.com/article/10.1360/02wd0253
" Tiwari, S Sri Lakshmi, KNN Rao",Characterization of earthquake dynamics in northeastern India regions: a modern nonlinear forecasting approach,26,2004, Springer, pure and applied geophysics,https://link.springer.com/article/10.1007/s00024-003-2476-z
"Suresh, AK Bhatnagar",Pre-convective environment of pre-monsoon thunderstorms around Chennai–A thermodynamical study,9,2005, 103.215.208.102, Mausam,http://103.215.208.102/index.php/MAUSAM/article/view/996
" Ahmad, G Anil Babu…","Sr, Nd isotopic evidence of terrigenous flux variations in the Bay of Bengal: Implications of monsoons during the last∼ 34,000 years",76,2005, Wiley Online Library, Geophysical …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005GL024519
"Bhattacharya, SK Sarkar, A Bhattacharya",Could not catch title,37,0," International Conference on Estuaries …, 2003",A Bhattacharya  SK Sarkar,"Look manually at: https://scholar.google.com/scholar?start=10&q=Monsoon+weather+OR+climate+OR+river+OR+cloud+OR+rain+OR+rainfall+OR+precipitation+OR+temperature+OR+wind+OR+premonsoon+%22Northeast+Indian”&hl=en&as_sdt=0,5&as_ylo=2001&as_yhi=2005"
"Sengupta, R Senan…",Origin of intraseasonal variability of circulation in the tropical central Indian Ocean,115,2001, Wiley Online Library, Geophysical Research …,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000GL012251
" Rao, V Ramaswamy, S Thwin","Sediment texture, distribution and transport on the Ayeyarwady continental shelf, Andaman Sea",116,2005, Elsevier, Marine Geology,https://www.sciencedirect.com/science/article/pii/S002532270500071X
" Keeley, PW Rundel",Fire and the Miocene expansion of C4 grasslands,430,2005, Wiley Online Library, Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2005.00767.x
"Saraswat, R Nigam, L Barreto",Palaeoceanographic implications of abundance and mean proloculus diameter of benthic foraminiferal speciesEpistominella exigua in sub-surface sediments from …,27,2005, Springer, Journal of earth system science,https://link.springer.com/article/10.1007/BF02702022
"D'Adamo, K Onton, MC Branch",… OF THE BROAD-SCALE CIRCULATION PATTERNS OF THE INDONESIAN-AUSTRALIAN BASIN AND SHELF REGION FROM NORTHWEST AUSTRALIA TO …,0,2003, library.dbca.wa.gov.au,,https://library.dbca.wa.gov.au/static/FullTextFiles/065400.pdf
" Singh, AK Gupta",Late Oligocene–Miocene paleoceanographic evolution of the southeastern Indian Ocean: evidence from deep-sea benthic foraminifera (ODP Site 757),68,2004, Elsevier, Marine Micropaleontology,https://www.sciencedirect.com/science/article/pii/S0377839803001208
" Pant, NR Phadtare, LS Chamyal, N Juyal",Quaternary deposits in Ladakh and Karakoram Himalaya: a treasure trove of the palaeoclimate records,58,2005, researchgate.net, Current Science,https://www.researchgate.net/profile/L-Chamyal-2/publication/228668011_Quaternary_deposits_in_Ladakh_and_Karakoram_Himalaya_A_treasure_trove_of_the_palaeoclimate_records/links/549ab3820cf2d6581ab2c437/Quaternary-deposits-in-Ladakh-and-Karakoram-Himalaya-A-treasure-trove-of-the-palaeoclimate-records.pdf
 Srivastava,Earth System Modeling Through Chaos,1,2005, Springer, Fractal Behaviour of the Earth System,https://link.springer.com/chapter/10.1007/3-540-26536-8_9
L Voelker,Global distribution of centennial-scale records for Marine Isotope Stage (MIS) 3: a database,600,2002, Elsevier, Quaternary Science Reviews,https://www.sciencedirect.com/science/article/pii/S0277379101001391
" Shyu, MP Chen, YT Shieh, CK Huang","A Pleistocene paleoceanographic record from the north slope of the Spratly Islands, southern South China Sea",17,2001, Elsevier, Marine Micropaleontology,https://www.sciencedirect.com/science/article/pii/S0377839801000093
 Tsay,Could not catch title,5,0, 2004,,"Look manually at: https://scholar.google.com/scholar?start=20&q=Monsoon+weather+OR+climate+OR+river+OR+cloud+OR+rain+OR+rainfall+OR+precipitation+OR+temperature+OR+wind+OR+premonsoon+%22Northeast+Indian”&hl=en&as_sdt=0,5&as_ylo=2001&as_yhi=2005"
"Hattori, Y Nakaguchi, M Kimura…",Distributions of dissolved selenium species in the Eastern Indian Ocean,10,2001, scholar.archive.org, Bull. Soc. Sea Water Sci …,https://scholar.archive.org/work/pey2hgigi5fbrm6mlspcy5ahhu/access/wayback/https://www.jstage.jst.go.jp/article/swsj1965/55/3/55_175/_pdf
" Goswami, SK Das",Present Status of Fisheries in Assam,0,2004, books.google.com, Fish Research: Vision for 21st Century,https://books.google.com/books?hl=en&lr=&id=wO7QADkQ5CYC&oi=fnd&pg=PA131&dq=Monsoon+weather+OR+climate+OR+river+OR+cloud+OR+rain+OR+rainfall+OR+precipitation+OR+temperature+OR+wind+OR+premonsoon+%22Northeast+Indian%E2%80%9D&ots=5XB3xpY7wZ&sig=dqGC2CUBauHpkJOV6HvLA1wdCk4
"Kaiswe, DL Kharmawphlang",TALKING FOREST: Reforestation of a Sacred Grove as Social Sculpture,0,2002, search.proquest.com, Left Curve,https://search.proquest.com/openview/c1cf6d851bd11956ce170227d00435b5/1?pq-origsite=gscholar&cbl=33459
Mazumder,Paleoclimatic reconstruction through the study of foraminifera in marine sediments off central west coast of India,8,2005, irgu.unigoa.ac.in,,http://irgu.unigoa.ac.in/drs/bitstream/handle/unigoa/3239/mazumder_a_2005.pdf?sequence=1
"Oguz, J Su","Semi-enclosed seas, islands and Australia panregional overview (S)",15,2004, academia.edu, The sea,https://www.academia.edu/download/51084361/oguz_sea14_ch04.pdf
"Suresh, AK Bhatnagar",Unusual hail storms during May 2002 in Chennai and its suburbs–A study using data from a single Doppler Weather Radar,15,2004, mausamjournal.imd.gov.in, Mausam,https://mausamjournal.imd.gov.in/index.php/MAUSAM/article/view/1367
"Jian, Q Zhao, X Cheng, J Wang, P Wang…",Pliocene–Pleistocene stable isotope and paleoceanographic changes in the northern South China Sea,98,2003, Elsevier, Palaeogeography …,https://www.sciencedirect.com/science/article/pii/S0031018203002591
 Kumar,Oceanography of Marginal Seas,2,2001, researchgate.net, The Indian Ocean–A Perspective,https://www.researchgate.net/profile/M-Dileepkumar/publication/27668308_Oceanography_of_marginal_seas/links/55814b6608ae47061e5f578d/Oceanography-of-marginal-seas.pdf
" Ding, V Ranov, SL Yang, A Finaev, JM Han…",The loess record in southern Tajikistan and correlation with Chinese loess,324,2002, Elsevier, Earth and Planetary …,https://www.sciencedirect.com/science/article/pii/S0012821X02006374
Bateman,Sea lane security,10,2003, Taylor & Francis, Maritime Studies,https://www.tandfonline.com/doi/pdf/10.1080/07266472.2003.10878696
 Tejwani,Agro forestry in India,143,2002, books.google.com,,https://books.google.com/books?hl=en&lr=&id=5Vvv6rLcjs8C&oi=fnd&pg=PR7&dq=Monsoon+weather+OR+climate+OR+river+OR+cloud+OR+rain+OR+rainfall+OR+precipitation+OR+temperature+OR+wind+OR+premonsoon+%22Northeast+Indian%E2%80%9D&ots=HKShKo1X0Z&sig=50UVXqSOL3u0ruxHSMqVpQ35jgs
"Wang, J Tian, X Cheng, Q Liu, J Xu",Exploring cyclic changes of the ocean carbon reservoir,39,2003, Springer, Chinese Science Bulletin,https://link.springer.com/article/10.1360/03wd0155
Shi,"Water, heat and salt budget in the Indian Ocean",0,2002, search.proquest.com,,https://search.proquest.com/openview/5eb99236edbfb86a00435f5daea599d8/1?pq-origsite=gscholar&cbl=18750&diss=y
" Samra, G Singh, YS Ramakrishna",Cold wave of 2002-03,2,0,spider.org,,https://www.un-spider.org/sites/default/files/6-Cold%20Wave_Impacts_India_Indian%20Council%20of%20Agricultural%20Research.pdf
"Kumar, R Ramesh",Productivity measurements in the Bay of Bengal using the ¹⁵N tracer: Implications to the global carbon cycle,0,2005, nopr.niscpr.res.in,,https://nopr.niscpr.res.in/handle/123456789/1553
